,time,gpu_load,gpu_free_mem,gpu_used_mem,loss,dataset
0,0,92.37607598304749,0.3123966942148761,4193.297520661157,1814.7107438016528,0.0046960916370153,gc-utd-poly
1,1,89.6176176071167,0.3114049586776859,4193.694214876033,1814.314049586777,0.0044395946897566,gc-utd-poly
2,2,91.82390522956848,0.3633884297520661,4148.173553719008,1859.8347107438017,0.0061058197170495,gc-utd-poly
3,3,92.10651683807372,0.3497520661157024,4148.05785123967,1859.9504132231405,0.0052496665157377,gc-utd-poly
4,4,89.73665022850037,0.3773553719008264,4143.280991735537,1864.7272727272727,0.0046874326653778,gc-utd-poly
5,avg,std,min,max,,,gc-utd-poly
6,91.13215317726136,0.34285950413223143,4165.300826446281,1842.707438016529,0.0050357210449873,,gc-utd-poly
7,1.3431768187185593,0.029901004618248513,25.814415445748185,25.814415445748185,0.0006676270279757,,gc-utd-poly
8,89.6176176071167,0.3114049586776859,4143.280991735537,1814.314049586777,0.0044395946897566,,gc-utd-poly
9,92.37607598304749,0.3773553719008264,4193.694214876033,1864.7272727272727,0.0061058197170495,,gc-utd-poly

10,0,113.32938122749329,0.1415923566878981,4046.235668789809,1961.7675159235669,0.0126158986240625,lovejack-utd-kiri
11,1,114.97961282730104,0.12226114649681528,4082.815286624204,1925.187898089172,0.0129476571455597,lovejack-utd-kiri
12,2,114.80778622627258,0.12898089171974522,4048.917197452229,1959.0859872611463,0.0122803635895252,lovejack-utd-kiri
13,3,114.8106381893158,0.1292675159235669,4020.7197452229298,1987.283439490446,0.012436281889677,lovejack-utd-kiri
14,4,113.76358556747437,0.12952229299363058,4033.9490445859874,1974.0541401273888,0.0128771625459194,lovejack-utd-kiri
15,avg,std,min,max,,,lovejack-utd-kiri
16,114.33820080757141,0.1303248407643312,4046.5273885350316,1961.4757961783441,0.0126314727589487,,lovejack-utd-kiri
17,0.7421281128418253,0.00699192924208691,23.167094253627067,23.16709425362701,0.0002837057083211,,lovejack-utd-kiri
18,113.32938122749329,0.12226114649681528,4020.7197452229298,1925.187898089172,0.0122803635895252,,lovejack-utd-kiri
19,114.97961282730104,0.1415923566878981,4082.815286624204,1987.283439490446,0.0129476571455597,,lovejack-utd-kiri

20,0,74.57956624031067,0.4510769230769231,4372.046153846154,1635.9692307692308,0.0020760693587362,piano-utd-poly
21,1,75.41740608215332,0.46199999999999997,4373.030769230769,1634.9846153846154,0.0021749176084995,piano-utd-poly
22,2,75.36368870735168,0.4333846153846154,4374.292307692308,1633.7230769230769,0.0023748790845274,piano-utd-poly
23,3,75.40025734901428,0.4656923076923077,4378.969230769231,1629.046153846154,0.0022100955247879,piano-utd-poly
24,4,74.61121106147766,0.5444615384615384,4389.4,1618.6153846153843,0.0021578520536422,piano-utd-poly
25,avg,std,min,max,,,piano-utd-poly
26,75.07442588806153,0.4713230769230769,4377.547692307691,1630.4676923076922,0.0021987627260386,,piano-utd-poly
27,0.4378722929259071,0.042770005527016985,7.137314231408609,7.137314231408773,0.0001100469663157,,piano-utd-poly
28,74.57956624031067,0.4333846153846154,4372.046153846154,1618.6153846153845,0.0020760693587362,,piano-utd-poly

29,75.41740608215332,0.5444615384615384,4389.4,1635.9692307692308,0.0023748790845274,,piano-utd-poly
30,0,159.09614372253418,0.07515482695810564,4862.897996357013,1145.103825136612,0.0120433717966079,plinth-utd-poly
31,1,159.48121809959412,0.07089253187613845,4862.380692167578,1145.6211293260474,0.0103889061138033,plinth-utd-poly
32,2,159.682621717453,0.0680327868852459,4974.453551912568,1033.5482695810565,0.0117959417402744,plinth-utd-poly
33,3,158.71222567558289,0.07120218579234971,5252.68306010929,755.3187613843352,0.0120541239157319,plinth-utd-poly
34,4,158.10966062545776,0.08903460837887067,5187.284153005465,820.7176684881603,0.0125732421875,plinth-utd-poly
35,avg,std,min,max,,,plinth-utd-poly
36,159.01637396812438,0.07486338797814207,5027.939890710382,980.0619307832424,0.0117711171507835,,plinth-utd-poly
37,0.6286820765282489,0.008317716562305623,182.62636013847313,182.6263601384731,0.0008229130583938,,plinth-utd-poly
38,158.10966062545776,0.0680327868852459,4862.380692167578,755.3187613843352,0.0103889061138033,,plinth-utd-poly
39,159.682621717453,0.08903460837887067,5252.68306010929,1145.6211293260474,0.0125732421875,,plinth-utd-poly

40,0,108.3857123851776,0.1379037800687285,4608.807560137457,1399.1958762886595,0.0038842025678604,room-utd-dark-poly
41,1,108.5152804851532,0.14460481099656355,4682.292096219931,1325.7113402061857,0.0036814785562455,room-utd-dark-poly
42,2,110.0814220905304,0.11450171821305842,4676.19587628866,1331.8075601374571,0.0041559441015124,room-utd-dark-poly
43,3,109.38827610015868,0.1175257731958763,4674.518900343643,1333.4845360824745,0.0035431068390607,room-utd-dark-poly
44,4,109.17936873435974,0.11924398625429551,4675.522336769759,1332.4810996563574,0.0036350728478282,room-utd-dark-poly
45,avg,std,min,max,,,room-utd-dark-poly
46,109.11001195907593,0.12675601374570447,4663.46735395189,1344.5360824742268,0.0037799609825014,,room-utd-dark-poly
47,0.6899627411690938,0.013552194600283644,30.70642665046021,30.706426650460052,0.000244448797816,,room-utd-dark-poly
48,108.3857123851776,0.11450171821305842,4608.807560137457,1325.7113402061855,0.0035431068390607,,room-utd-dark-poly
49,110.0814220905304,0.14460481099656355,4682.292096219931,1399.1958762886597,0.0041559441015124,,room-utd-dark-poly

50,0,87.5363564491272,0.26621212121212123,4391.515151515152,1616.4924242424242,0.0066178692504763,room-utd-lit-poly
51,1,86.98423337936401,0.3463636363636364,4138.439393939394,1869.5681818181815,0.0059667155146598,room-utd-lit-poly
52,2,88.51562166213989,0.3318181818181818,4100.712121212121,1907.2954545454545,0.0067820022813975,room-utd-lit-poly
53,3,88.24736094474792,0.2968939393939394,4124.969696969697,1883.0378787878788,0.005797775927931,room-utd-lit-poly
54,4,88.0757246017456,0.31939393939393934,4105.469696969697,1902.5378787878788,0.0060113198123872,room-utd-lit-poly
55,avg,std,min,max,,,room-utd-lit-poly
56,87.87185940742492,0.3121363636363636,4172.221212121212,1835.7863636363636,0.0062351365573703,,room-utd-lit-poly
57,0.6118485235948438,0.03143612615365018,123.52435350606359,123.52435350606335,0.0004355957260396,,room-utd-lit-poly
58,86.98423337936401,0.26621212121212123,4100.712121212121,1616.4924242424242,0.005797775927931,,room-utd-lit-poly
59,88.51562166213989,0.3463636363636364,4391.515151515152,1907.2954545454545,0.0067820022813975,,room-utd-lit-poly
