,Unnamed: 0,time,gpu_load,gpu_free_mem,gpu_used_mem,loss,dataset
0,0,22.708839178085327,0.7054545454545454,18152.0,6103.0,0.0043109632097184,room-utd-dark-poly
1,1,22.431772470474243,0.6809090909090909,18300.363636363636,5954.636363636364,0.0040506967343389,room-utd-dark-poly
2,2,22.594335079193115,0.7245454545454545,18155.090909090908,6099.909090909091,0.0039948527701199,room-utd-dark-poly
3,3,22.932663202285767,0.48636363636363633,18701.454545454544,5553.545454545455,0.0044494145549833,room-utd-dark-poly
4,4,22.719892740249637,0.6836363636363637,18261.272727272728,5993.727272727273,0.0036152293905615,room-utd-dark-poly
5,avg,std,min,max,,,room-utd-dark-poly
6,22.677500534057618,0.6561818181818182,18314.036363636365,5940.963636363636,0.0040842313319444,,room-utd-dark-poly
7,0.18383822448547332,0.09657224418593284,226.15439032763132,226.1543903276316,0.0003216527818779,,room-utd-dark-poly
8,22.431772470474243,0.48636363636363633,18152.0,5553.545454545455,0.0036152293905615,,room-utd-dark-poly
9,22.932663202285767,0.7245454545454545,18701.454545454544,6103.0,0.0044494145549833,,room-utd-dark-poly
10,0,28.699971437454224,0.7145454545454546,18483.81818181818,5771.181818181818,0.0062012881971895,room-utd-lit-poly
11,1,28.486980199813843,0.729090909090909,18363.272727272728,5891.727272727273,0.0070729833096265,room-utd-lit-poly
12,2,29.48809552192688,0.7354545454545455,18363.272727272728,5891.727272727273,0.007015673443675,room-utd-lit-poly
13,3,28.844635486602783,0.7554545454545455,18363.272727272728,5891.727272727273,0.0067803347483277,room-utd-lit-poly
14,4,28.78065013885498,0.7336363636363636,18363.272727272728,5891.727272727273,0.0069639198482036,room-utd-lit-poly
15,avg,std,min,max,,,room-utd-lit-poly
16,28.86006655693054,0.7336363636363636,18387.381818181817,5867.618181818181,0.0068068399094044,,room-utd-lit-poly
17,0.3760948495434795,0.014700874207996576,53.90956614844844,53.909566148449656,0.0003558487253809,,room-utd-lit-poly
18,28.486980199813843,0.7145454545454546,18363.272727272728,5771.181818181818,0.0062012881971895,,room-utd-lit-poly
19,29.48809552192688,0.7554545454545455,18483.81818181818,5891.727272727273,0.0070729833096265,,room-utd-lit-poly
20,0,34.31262254714966,0.46181818181818185,18008.363636363636,6246.636363636364,0.0116388751193881,plinth-utd-poly
21,1,33.638341665267944,0.5072727272727273,17875.272727272728,6379.727272727273,0.0105720805004239,plinth-utd-poly
22,2,33.31548285484314,0.46181818181818185,18014.909090909092,6240.090909090909,0.0088140899315476,plinth-utd-poly
23,3,34.328986167907715,0.44090909090909086,18010.18181818182,6244.818181818182,0.0095461579039692,plinth-utd-poly
24,4,33.835341930389404,0.4454545454545455,18016.0,6239.0,0.0085278823971748,plinth-utd-poly
25,avg,std,min,max,,,plinth-utd-poly
26,33.88615503311157,0.46345454545454545,17984.945454545457,6270.054545454545,0.0098198171705007,,plinth-utd-poly
27,0.438073659963298,0.02625683696874601,61.3913607403657,61.391360740365805,0.0012874727250331,,plinth-utd-poly
28,33.31548285484314,0.44090909090909086,17875.272727272728,6239.0,0.0085278823971748,,plinth-utd-poly
29,34.328986167907715,0.5072727272727273,18016.0,6379.727272727273,0.0116388751193881,,plinth-utd-poly
30,0,25.164487600326535,0.7127272727272728,18609.454545454544,5645.545454545455,0.0020927614532411,piano-utd-poly
31,1,25.051310062408447,0.7599999999999999,18609.272727272728,5645.727272727273,0.0023842176888138,piano-utd-poly
32,2,25.094836950302124,0.7781818181818182,18609.272727272728,5645.727272727273,0.0023430078290402,piano-utd-poly
33,3,24.96508550643921,0.7636363636363637,18609.272727272728,5645.727272727273,0.0023926275316625,piano-utd-poly
34,4,24.809693336486816,0.7745454545454545,18609.272727272728,5645.727272727273,0.0023268605582416,piano-utd-poly
35,avg,std,min,max,,,piano-utd-poly
36,25.017082691192627,0.7578181818181818,18609.309090909093,5645.6909090909085,0.0023078950121998,,piano-utd-poly
37,0.13661945016574462,0.02629772324620296,0.08131156281728676,0.08131156281810023,0.0001233691623273,,piano-utd-poly
38,24.809693336486816,0.7127272727272728,18609.272727272728,5645.545454545455,0.0020927614532411,,piano-utd-poly
39,25.164487600326535,0.7781818181818182,18609.454545454544,5645.727272727273,0.0023926275316625,,piano-utd-poly
40,0,25.83464503288269,0.7854545454545455,18603.454545454544,5651.545454545455,0.0044519854709506,gc-utd-poly
41,1,26.96829485893249,0.7645454545454545,18603.454545454544,5651.545454545455,0.0050162146799266,gc-utd-poly
42,2,26.850220680236816,0.7345454545454545,18603.454545454544,5651.545454545455,0.0061729955486953,gc-utd-poly
43,3,26.11986613273621,0.7554545454545455,18603.454545454544,5651.545454545455,0.0046754330396652,gc-utd-poly
44,4,26.34326457977295,0.75,18603.454545454544,5651.545454545455,0.0049352697096765,gc-utd-poly
45,avg,std,min,max,,,gc-utd-poly
46,26.42325825691223,0.758,18603.454545454544,5651.545454545455,0.0050503796897828,,gc-utd-poly
47,0.4806956171450252,0.018822792584023185,0.0,0.0,0.0006658349182918,,gc-utd-poly
48,25.83464503288269,0.7345454545454545,18603.454545454544,5651.545454545455,0.0044519854709506,,gc-utd-poly
49,26.96829485893249,0.7854545454545455,18603.454545454544,5651.545454545455,0.0061729955486953,,gc-utd-poly
50,0,28.869812965393063,0.44636363636363635,17880.909090909092,6374.090909090909,0.0136303286999464,lovejack-utd-kiri
51,1,28.971726655960083,0.45545454545454545,17881.636363636364,6373.363636363636,0.012875341810286,lovejack-utd-kiri
52,2,29.002195119857788,0.45454545454545453,17880.18181818182,6374.818181818182,0.0121390027925372,lovejack-utd-kiri
53,3,29.0654890537262,0.46,17882.18181818182,6372.818181818182,0.0127631025388836,lovejack-utd-kiri
54,4,28.97765684127808,0.47181818181818175,17894.727272727272,6360.272727272727,0.0121061420068144,lovejack-utd-kiri
55,avg,std,min,max,,,lovejack-utd-kiri
56,28.97737612724304,0.4576363636363636,17883.927272727276,6371.072727272728,0.0127027835696935,,lovejack-utd-kiri
57,0.07067831937933382,0.009328708023538383,6.084256882986765,6.084256882987693,0.0006260160965067,,lovejack-utd-kiri
58,28.869812965393063,0.44636363636363635,17880.18181818182,6360.272727272727,0.0121061420068144,,lovejack-utd-kiri
59,29.0654890537262,0.47181818181818175,17894.727272727272,6374.818181818182,0.0136303286999464,,lovejack-utd-kiri
